which;accuracy;precision;recall;fmeasure;precision_weighted;recall_weighted;fmeasure_weighted;precision_macro;recall_macro;fmeasure_macro;matthews_corrcoef
multilingua4-6-23.5-0.0236860474960836-MCC;0.9497716894977168;0.38461538461538464;0.625;0.47619047619047616;0.9634890755385501;0.9497716894977168;0.9554501213119524;0.685026138909634;0.793542654028436;0.7249057896539911;0.4661032670135152
multilingua4-6-24.5-0.0194379261708288-MCC;0.954337899543379;0.4;0.5;0.4444444444444444;0.9596425684385309;0.954337899543379;0.9567659636152787;0.6904306220095694;0.735781990521327;0.7103174603174602;0.4237929263856616
multilingua4-6-24.5-0.0441371932920592-MCC;0.9497716894977168;0.38461538461538464;0.625;0.47619047619047616;0.9634890755385501;0.9497716894977168;0.9554501213119524;0.685026138909634;0.793542654028436;0.7249057896539911;0.4661032670135152
multilingua4-6-25.0-0.0191788797146282-PRAUC;0.9315068493150684;0.3157894736842105;0.75;0.4444444444444444;0.9653713049747655;0.9315068493150684;0.9445425827787591;0.6528947368421052;0.8441943127962086;0.7039740470397404;0.4588049645656662
multilingua4-6-25.0-0.0277134178337545-MCC;0.9406392694063926;0.3333333333333333;0.625;0.43478260869565216;0.9614781985853702;0.9406392694063926;0.9491717913942846;0.6593137254901961;0.788803317535545;0.7017286537454165;0.42900038438451665
multilingua4-9-24.5-0.0025817047889836-Precision;0.9634703196347032;0.5;0.375;0.42857142857142855;0.9591184856475229;0.9634703196347032;0.9609472116579896;0.738262910798122;0.6803909952606635;0.7048517520215634;0.414634700007493
tfidf-1-25.0-0.0696902937511473-MCC;0.954337899543379;0.4;0.5;0.4444444444444444;0.9596425684385309;0.939642568;0.9343379;0.956765964;0.735781990521327;0.7103174603174602;0.4237929263856616
tfidf-1-25.0-0.0499205438925941-MCC;0.954337899543379;0.4;0.5;0.4444444444444444;0.9596425684385309;0.939642568;0.9343379;0.956765964;0.735781990521327;0.7103174603174602;0.4237929263856616
tfidf-1-24.0-0.071959969857618-MCC;0.954337899543379;0.4;0.5;0.4444444444444444;0.9596425684385309;0.939642568;0.9343379;0.956765964;0.735781990521327;0.7103174603174602;0.4237929263856616
tfidf-5-24.0-0.0028689899780535-MCC;0.9406392694063926;0.3333333333333333;0.625;0.43478260869565216;0.9614781985853702;0.9406392694063926;0.9491717913942846;0.6593137254901961;0.788803317535545;0.7017286537454165;0.42900038438451665
tfidf-3-23.0-0.0039638020583821-Precision;0.9634703196347032;0.5;0.375;0.42857142857142855;0.9591184856475229;0.9634703196347032;0.9609472116579896;0.738262910798122;0.6803909952606635;0.7048517520215634;0.414634700007493
tfidf-10-25.0-0.0017678324040762-Recall;0.9269406392694064;0.3;0.75;0.42857142857142855;0.9647461049539937;0.9269406392694064;0.9415270551922739;0.6449748743718593;0.841824644549763;0.6947735191637631;0.4452234715322514
tfidf-1-25.0-0.0597861597089879-MCC;0.9497716894977168;0.36363636363636365;0.5;0.42105263157894735;0.9582255643899479;0.9497716894977168;0.9535572674780424;0.6722027972027972;0.7334123222748815;0.6973998241426956;0.40097009762492447
tfidf-1-24.0-0.0665010120990732-MCC;0.9497716894977168;0.36363636363636365;0.5;0.42105263157894735;0.9582255643899479;0.9497716894977168;0.9535572674780424;0.6722027972027972;0.7334123222748815;0.6973998241426956;0.40097009762492447
tfidf-1-23.5-0.0782311727889973-MCC;0.9497716894977168;0.36363636363636365;0.5;0.42105263157894735;0.9582255643899479;0.9497716894977168;0.9535572674780424;0.6722027972027972;0.7334123222748815;0.6973998241426956;0.40097009762492447
tfidf-4-15.5-0.0077116312357748-Precision;0.9726027397260274;1.0;0.25;0.4;0.9733602676598699;0.9726027397260274;0.9645755985149149;0.9861751152073732;0.625;0.6929906542056075;0.4930391035239362
tfidf-4-13.5-0.0025005166226715-Precision;0.9726027397260274;1.0;0.25;0.4;0.9733602676598699;0.9726027397260274;0.9645755985149149;0.9861751152073732;0.625;0.6929906542056075;0.4930391035239362
